time,Arr_CUHI_0,Arr_CUHI_0_JJA,Arr_CUHI_0_DJF,Arr_SUHI_0,Arr_SUHI_0_JJA,Arr_SUHI_0_DJF,Arr_CUHI_1,Arr_CUHI_1_JJA,Arr_CUHI_1_DJF,Arr_SUHI_1,Arr_SUHI_1_JJA,Arr_SUHI_1_DJF,Arr_CUHI_2,Arr_CUHI_2_JJA,Arr_CUHI_2_DJF,Arr_SUHI_2,Arr_SUHI_2_JJA,Arr_SUHI_2_DJF
2049,0.7434960603713989,0.8191969990730286,0.6649603247642517,1.2371305227279663,1.3642597198486328,1.110478401184082,-1.2132835388183594,-1.3123911619186401,-0.9466549754142761,-3.8461482524871826,-4.312687873840332,-2.872469663619995,0.4953289031982422,0.5550712943077087,0.4431630074977875,-0.22462250292301178,-0.2713319957256317,-0.06460826098918915
2050,0.7443759441375732,0.8188704252243042,0.6739210486412048,1.2322938442230225,1.373216986656189,1.0896245241165161,-1.2321943044662476,-1.3251270055770874,-0.9379534721374512,-3.8661093711853027,-4.293590545654297,-2.8981807231903076,0.485427588224411,0.5431886315345764,0.4496125280857086,-0.2758418321609497,-0.31268391013145447,-0.11419520527124405
2051,0.7400047779083252,0.8290261030197144,0.6701018214225769,1.20361328125,1.3883076906204224,1.121405005455017,-1.2398337125778198,-1.3805726766586304,-0.9076459407806396,-3.906951904296875,-4.39927864074707,-2.7998206615448,0.4738217890262604,0.540131151676178,0.4428075850009918,-0.3483520746231079,-0.3686401844024658,-0.09971054643392563
2052,0.7326399087905884,0.81098872423172,0.6580845713615417,1.1997475624084473,1.332104206085205,1.0346566438674927,-1.2217223644256592,-1.334343433380127,-1.0022342205047607,-3.8432416915893555,-4.279345989227295,-3.011234760284424,0.4593019485473633,0.5199259519577026,0.41063836216926575,-0.38367921113967896,-0.43143901228904724,-0.2575063705444336
2053,0.7415431141853333,0.8275811076164246,0.6561740040779114,1.204239010810852,1.3692359924316406,1.0968505144119263,-1.254730463027954,-1.3530409336090088,-0.9466776251792908,-3.9280450344085693,-4.380579948425293,-2.863091468811035,0.45643311738967896,0.5256451964378357,0.40503132343292236,-0.44006508588790894,-0.47216060757637024,-0.21225261688232422
2054,0.7388067245483398,0.8313608765602112,0.6719812750816345,1.2137904167175293,1.3966127634048462,1.0964821577072144,-1.2456196546554565,-1.3560856580734253,-0.9617393016815186,-3.887586832046509,-4.337245941162109,-2.8908884525299072,0.44644394516944885,0.5190404057502747,0.417114794254303,-0.46520087122917175,-0.4877464473247528,-0.23192566633224487
2055,0.7569239139556885,0.8396608233451843,0.6978906989097595,1.2551262378692627,1.415270447731018,1.1978071928024292,-1.2358227968215942,-1.3584848642349243,-0.8978250026702881,-3.89567232131958,-4.403317928314209,-2.790607213973999,0.45883482694625854,0.5194399356842041,0.4434875547885895,-0.4724091589450836,-0.533644437789917,-0.16536341607570648
2056,0.7480254769325256,0.8370344638824463,0.692477822303772,1.236152172088623,1.3595815896987915,1.1874825954437256,-1.2242851257324219,-1.376993179321289,-0.9425433874130249,-3.8608837127685547,-4.394537925720215,-2.8241045475006104,0.44247880578041077,0.5047062635421753,0.4252859354019165,-0.5213513374328613,-0.6262452006340027,-0.2081080824136734
2057,0.7563169598579407,0.8327147960662842,0.6638712882995605,1.2663754224777222,1.3930937051773071,1.11024808883667,-1.2248289585113525,-1.3504482507705688,-0.9237238168716431,-3.873530626296997,-4.373967170715332,-2.8525774478912354,0.4441920816898346,0.4963865876197815,0.3944331407546997,-0.5389245748519897,-0.637428343296051,-0.31196099519729614
2058,0.7390522956848145,0.8183698058128357,0.659188449382782,1.2118984460830688,1.3360189199447632,1.1173135042190552,-1.2420861721038818,-1.3694602251052856,-0.9395849108695984,-3.8896234035491943,-4.355259418487549,-2.827350378036499,0.4184182584285736,0.47557300329208374,0.37830448150634766,-0.6202465295791626,-0.7032248377799988,-0.3306853473186493
2059,0.7434458136558533,0.8328098654747009,0.6554213166236877,1.2488298416137695,1.4170445203781128,1.1099960803985596,-1.2443251609802246,-1.4117684364318848,-0.9023791551589966,-3.8811492919921875,-4.454246997833252,-2.767454147338867,0.4143187999725342,0.47264814376831055,0.3759310245513916,-0.6282208561897278,-0.7208960056304932,-0.34756821393966675
2060,0.7294562458992004,0.8221145868301392,0.6451189517974854,1.210584282875061,1.3715118169784546,1.0573209524154663,-1.2319518327713013,-1.3404717445373535,-0.9390900731086731,-3.850839853286743,-4.301330089569092,-2.858874559402466,0.39198532700538635,0.4632091224193573,0.3527648448944092,-0.6974059343338013,-0.7585355639457703,-0.4441149830818176
