time,Arr_TBOT_1,Arr_TBOT_1_JJA,Arr_TBOT_1_DJF,Arr_FSDS_1,Arr_FSDS_1_JJA,Arr_FSDS_1_DJF,Arr_FLDS_1,Arr_FLDS_1_JJA,Arr_FLDS_1_DJF,Arr_QBOT_1,Arr_QBOT_1_JJA,Arr_QBOT_1_DJF,Arr_PBOT_1,Arr_PBOT_1_JJA,Arr_PBOT_1_DJF,Arr_RAIN_1,Arr_RAIN_1_JJA,Arr_RAIN_1_DJF,Arr_SNOW_1,Arr_SNOW_1_JJA,Arr_SNOW_1_DJF
2037,18.766481399536133,24.10270118713379,12.480443954467773,191.45765686035156,216.09820556640625,146.631591796875,358.58135986328125,388.63946533203125,324.9786682128906,0.010265086777508259,0.012596191838383675,0.007736979518085718,95449.8984375,95344.515625,95674.0625,3.659424328361638e-05,4.7293928219005466e-05,2.738421426329296e-05,1.149881541095965e-06,3.5784299967644984e-08,3.000041715495172e-06
2038,18.575767517089844,24.00056266784668,12.07699966430664,193.87918090820312,217.0025177001953,147.8162078857422,355.0238037109375,387.2508239746094,323.69403076171875,0.009850271977484226,0.01241124514490366,0.007619484793394804,95502.3828125,95347.890625,95700.5546875,3.348093741806224e-05,4.307060953578912e-05,2.510074591555167e-05,1.0815698487931513e-06,2.7141638270222757e-08,3.0560133836843306e-06
2039,18.415973663330078,24.127197265625,11.693204879760742,194.29759216308594,220.02723693847656,146.75709533691406,354.5782470703125,385.915771484375,325.01702880859375,0.009729930199682713,0.012076000683009624,0.007761386223137379,95542.3515625,95370.8046875,95650.1796875,3.15242177748587e-05,3.77975738956593e-05,2.6601856006891467e-05,1.1315602250761003e-06,2.3103305935023855e-08,3.382590875844471e-06
2040,18.557369232177734,23.96113395690918,11.986786842346191,192.3928680419922,215.6721954345703,146.62893676757812,357.1995544433594,387.69830322265625,324.62261962890625,0.010089247487485409,0.012465921230614185,0.007740125060081482,95484.4609375,95337.3828125,95691.5078125,3.364964504726231e-05,4.279560380382463e-05,2.5525381715851836e-05,1.2333666745689698e-06,6.054654022591421e-08,2.9168447781557916e-06
2041,18.428791046142578,24.15880584716797,12.7468843460083,191.92767333984375,214.36431884765625,147.05105590820312,356.5674743652344,389.8286437988281,326.9613342285156,0.009994203224778175,0.012601878494024277,0.00788560975342989,95488.484375,95313.171875,95495.9921875,3.392032886040397e-05,4.4921656808583066e-05,2.8416030545486137e-05,1.2680733334491379e-06,4.287255706003634e-08,3.0884568786859745e-06
2042,18.719139099121094,24.026121139526367,12.546778678894043,193.42987060546875,219.04641723632812,148.4317169189453,356.1693420410156,386.08050537109375,324.53375244140625,0.009901514276862144,0.012172767892479897,0.0076512545347213745,95457.3984375,95348.890625,95680.421875,3.31739938701503e-05,4.02447949454654e-05,2.6605765015119687e-05,1.0830473229361814e-06,3.254670843944041e-08,2.5520794224576093e-06
2043,18.923233032226562,24.31874656677246,12.798257827758789,193.07269287109375,220.13914489746094,145.27865600585938,358.48968505859375,388.3498840332031,330.13592529296875,0.010127846151590347,0.012409713119268417,0.008220121264457703,95503.453125,95389.78125,95631.2578125,3.2740073947934434e-05,3.690720768645406e-05,2.8320844648987986e-05,1.0346180943088257e-06,3.298593398426419e-08,3.339348722875002e-06
2044,19.01407241821289,24.364477157592773,12.801084518432617,192.52720642089844,218.74722290039062,148.17391967773438,359.2956237792969,388.6527404785156,325.1478576660156,0.0102755231782794,0.012524740770459175,0.007765952963382006,95498.84375,95362.2109375,95660.9609375,3.508669033180922e-05,4.5152450184104964e-05,2.7503472665557638e-05,1.2314766308918479e-06,2.3702954266013876e-08,2.7823516575153917e-06
2045,18.82713508605957,24.332895278930664,12.49128532409668,193.66949462890625,218.7694549560547,146.00997924804688,357.2441101074219,388.3418884277344,327.49835205078125,0.009938634000718594,0.012307321652770042,0.007911521010100842,95531.0078125,95393.0234375,95711.6328125,3.11949806928169e-05,3.71040623576846e-05,2.6106952645932324e-05,1.0926842151093297e-06,4.8503647320785603e-08,3.3000801522575784e-06
2046,18.8289794921875,24.004474639892578,12.278355598449707,191.81097412109375,214.40280151367188,147.74993896484375,358.5306701660156,389.4300231933594,325.3041687011719,0.01016275491565466,0.012682716362178326,0.007732025347650051,95483.9296875,95333.4296875,95567.0546875,3.585741069400683e-05,4.911124051432125e-05,2.6332241759519093e-05,1.1568239415282733e-06,3.943542381534826e-08,3.8001799111953005e-06
2047,18.643447875976562,23.88717269897461,12.39466381072998,194.00091552734375,218.27284240722656,144.43946838378906,356.5873107910156,386.0921936035156,329.85888671875,0.009921661578118801,0.012150369584560394,0.008151034824550152,95504.7890625,95362.09375,95684.5078125,3.1313356885220855e-05,3.814265437540598e-05,2.650021451700013e-05,1.315077611252491e-06,3.4983006713673603e-08,3.2292227842845023e-06
2048,18.85521125793457,24.279285430908203,12.520498275756836,191.3677215576172,215.13658142089844,146.13180541992188,360.16571044921875,390.1751403808594,326.50384521484375,0.010371419601142406,0.012683013454079628,0.007876916788518429,95503.953125,95394.9765625,95659.390625,3.5126155125908554e-05,4.486427133088e-05,2.8230246243765578e-05,1.2769036175086512e-06,2.371467111572656e-08,3.1079212021722924e-06
