time,Arr_TBUILD_2_C,Arr_TBUILD_2_JJA_C,Arr_TBUILD_2_DJF_C,Arr_HIA_U_2,Arr_HIA_U_2_JJA,Arr_HIA_U_2_DJF,Arr_APPAR_TEMP_U_2,Arr_APPAR_TEMP_U_2_JJA,Arr_APPAR_TEMP_U_2_DJF,Arr_SWBGT_U_2,Arr_SWBGT_U_2_JJA,Arr_SWBGT_U_2_DJF,Arr_HUMIDEX_U_2,Arr_HUMIDEX_U_2_JJA,Arr_HUMIDEX_U_2_DJF,Arr_DISCOIS_U_2,Arr_DISCOIS_U_2_JJA,Arr_DISCOIS_U_2_DJF
2035,22.382745361328148,26.137506103515648,18.794366455078148,20.310659408569336,26.420835494995117,13.36702823638916,18.3829345703125,25.307605743408203,10.595685005187988,20.8939151763916,25.544172286987305,15.841057777404785,22.265117645263672,29.950654983520508,13.821983337402344,16.748519897460938,21.91836929321289,10.810042381286621
2036,22.574914550781273,26.256127929687523,19.089929199218773,20.508405685424805,26.480497360229492,13.99189567565918,18.642906188964844,25.281944274902344,11.381636619567871,21.083574295043945,25.5139102935791,16.414670944213867,22.562881469726562,29.925430297851562,14.71984577178955,16.928070068359375,21.94265365600586,11.337449073791504
2037,22.696527099609398,26.349847412109398,18.931085205078148,20.988155364990234,26.95359230041504,13.932941436767578,19.09955596923828,25.777023315429688,11.252978324890137,21.478069305419922,25.96686553955078,16.289669036865234,23.165586471557617,30.592565536499023,14.549788475036621,17.243202209472656,22.229862213134766,11.296829223632812
2038,22.477655029296898,26.144372558593773,18.901666259765648,20.57587432861328,26.69758415222168,13.478560447692871,18.697120666503906,25.600934982299805,10.881087303161621,21.125080108642578,25.806053161621094,16.001569747924805,22.627344131469727,30.34727668762207,14.065834045410156,16.96092987060547,22.123281478881836,10.944358825683594
2039,22.484429931640648,26.351129150390648,19.087365722656273,20.34078025817871,26.60828971862793,13.184819221496582,18.489784240722656,25.47739028930664,10.61030101776123,20.96219253540039,25.663827896118164,15.87613582611084,22.369110107421875,30.172473907470703,13.818304061889648,16.79421615600586,22.090370178222656,10.639933586120605
2040,22.564599609375023,26.087152099609398,18.961358642578148,20.682987213134766,26.77708625793457,13.479903221130371,18.793516159057617,25.510299682617188,10.827219009399414,21.247425079345703,25.792259216308594,16.016027450561523,22.796018600463867,30.314165115356445,14.068085670471191,17.00037384033203,22.06295394897461,10.863984107971191
2041,22.496881103515648,26.227380371093773,18.974542236328148,20.521312713623047,27.004697799682617,14.15022087097168,18.615215301513672,25.79299545288086,11.597885131835938,21.1157283782959,25.986404418945312,16.510908126831055,22.58307456970215,30.62937355041504,14.907560348510742,16.850542068481445,22.262847900390625,11.552155494689941
2042,22.446282958984398,26.090783691406273,18.769158935546898,20.684656143188477,26.58698272705078,13.9268217086792,18.838085174560547,25.436586380004883,11.276724815368652,21.216875076293945,25.65259552001953,16.261146545410156,22.77857208251953,30.126859664916992,14.51345157623291,17.0690975189209,22.0221004486084,11.317959785461426
2043,22.581262207031273,26.385491943359398,19.229974365234398,20.97330665588379,27.024089813232422,14.360880851745605,19.14977264404297,25.85896110534668,11.7637357711792,21.4657039642334,25.960800170898438,16.744213104248047,23.171573638916016,30.622291564941406,15.25032901763916,17.308956146240234,22.31597328186035,11.68274211883545
2044,22.710504150390648,26.338281250000023,18.710931396484398,21.174924850463867,27.185441970825195,14.15711784362793,19.29707145690918,25.955402374267578,11.549038887023926,21.59929084777832,26.046445846557617,16.456546783447266,23.374929428100586,30.74797821044922,14.83191967010498,17.388879776000977,22.350645065307617,11.553803443908691
